VCD info: dumpfile dump.vcd opened for output.
timestamp,moisture_raw,nutrient_raw,temp_raw,moisture_avg,nutrient_avg,temp_avg,pump_on,dose_nutrient,alert_nutrient,alert_weed,alert_heat,alert_frost,alert_anomaly,status,crop_health,relocate_recommend
163,79,60,25,79,43,25,0,1,1,0,0,0,0,1,80,0
164,81,60,24,80,46,24,0,1,1,0,0,0,0,1,80,0
165,79,60,25,80,48,24,0,1,1,0,0,0,0,1,80,0
166,80,59,24,80,51,24,0,0,0,0,0,0,0,0,100,0
167,79,60,25,79,54,25,0,0,0,0,0,0,0,0,100,0
168,80,59,24,79,57,25,0,0,0,0,0,0,0,0,100,0
169,79,60,25,80,59,25,0,0,0,0,0,0,0,0,100,0
170,80,59,24,80,60,24,0,0,0,0,0,0,0,0,100,0
171,78,61,25,79,60,24,0,0,0,0,0,0,0,0,100,0
172,75,59,24,79,60,25,0,0,0,0,0,0,0,0,100,0
173,73,60,25,78,60,25,0,0,0,0,0,0,0,0,100,0
174,70,59,26,77,59,25,0,0,0,0,0,0,0,0,100,0
175,68,60,27,75,59,25,0,0,0,0,0,0,0,0,100,0
176,66,59,28,74,60,25,0,0,0,0,0,0,0,0,100,0
177,63,60,29,72,60,26,0,0,0,0,0,0,0,0,100,0
178,61,59,31,69,59,27,0,0,0,0,0,0,0,0,100,0
179,58,60,32,67,59,28,0,0,0,0,0,0,0,0,100,0
180,56,59,33,64,59,29,0,0,0,0,0,0,0,0,100,0
181,54,61,34,62,60,30,0,0,0,0,0,0,0,0,100,0
182,51,59,35,60,60,31,0,0,0,0,0,0,0,0,100,0
183,49,60,37,57,60,32,0,0,0,0,0,0,0,0,100,0
184,49,59,38,55,59,34,0,0,0,0,0,0,0,0,100,0
185,49,60,38,53,59,35,0,0,0,0,0,0,0,0,100,0
186,49,59,38,52,60,36,0,0,0,0,0,0,0,0,100,0
187,49,60,38,50,60,36,0,0,0,0,0,0,0,1,88,0
188,49,59,38,50,59,37,0,0,0,0,0,0,0,1,88,0
189,49,60,38,49,59,37,0,0,0,0,0,0,0,1,88,0
190,49,59,38,49,59,38,0,0,0,0,0,0,0,1,88,0
191,49,61,38,49,60,38,0,0,0,0,0,0,0,1,88,0
192,49,59,38,49,60,38,0,0,0,0,0,0,0,1,88,0
193,60,60,30,50,60,37,0,0,0,0,0,0,0,1,88,0
194,72,59,27,53,59,36,0,0,0,0,0,0,0,0,100,0
195,80,60,25,57,59,34,0,0,0,0,0,0,0,0,100,0
196,80,59,25,61,60,32,0,0,0,0,0,0,0,0,100,0
197,79,100,25,64,100,31,0,0,0,0,0,0,1,0,100,0
198,80,100,24,68,100,29,0,0,0,0,0,0,1,0,100,0
# CARETAKER TX #5: sev=CRITICAL event=SENSOR_ANOMALY action=CHECK_SENSOR health=255 ts=197 (packet=372ff000000000c5)
C,197,CRITICAL,SENSOR_ANOMALY,CHECK_SENSOR,255,5
199,79,100,25,72,100,27,0,0,0,0,0,0,1,0,100,0
200,80,100,24,76,100,25,0,0,0,0,0,0,0,0,100,0
201,79,100,25,78,100,25,0,0,0,0,0,0,0,0,100,0
202,80,100,24,79,100,25,0,0,0,0,0,0,0,0,100,0
203,79,60,25,79,100,25,0,0,0,0,0,0,0,0,100,0
204,81,60,24,80,100,24,0,0,0,0,0,0,0,0,100,0
205,79,60,25,80,100,24,0,0,0,0,0,0,0,0,100,0
206,80,60,24,80,100,24,0,0,0,0,0,0,0,0,100,0
207,79,60,25,79,100,25,0,0,0,0,0,0,0,0,100,0
208,80,60,24,79,100,25,0,0,0,0,0,0,0,0,100,0
209,79,60,25,80,100,25,0,0,0,0,0,0,0,0,100,0
210,80,59,24,80,60,24,0,0,0,0,0,0,0,0,100,0
211,79,61,25,79,60,24,0,0,0,0,0,0,0,0,100,0
212,24,59,24,72,60,25,0,0,0,0,0,0,0,0,100,0
213,24,60,25,65,60,25,0,0,0,0,0,0,0,0,100,0
214,24,59,24,58,59,24,0,0,0,1,0,0,0,2,68,0
# CARETAKER TX #6: sev=CRITICAL event=WEED_DETECTED action=INSPECT_WEED health=175 ts=214 (packet=331af000000000d6)
C,214,CRITICAL,WEED_DETECTED,INSPECT_WEED,175,6
215,24,60,25,52,60,24,0,0,0,1,0,0,0,2,68,0
216,50,59,24,48,60,24,0,0,0,1,0,0,0,2,68,0
217,76,60,25,47,60,25,0,0,0,0,0,0,0,0,100,0
218,80,59,24,47,59,25,0,0,0,0,0,0,0,0,100,0
219,79,60,25,47,59,25,0,0,0,0,0,0,0,0,100,0
220,80,59,24,54,59,24,0,0,0,0,0,0,0,0,100,0
221,79,61,25,61,60,24,0,0,0,0,0,0,0,0,100,0
222,80,59,24,68,60,25,0,0,0,0,0,0,0,0,100,0
#---------------------------------------------------------
# INTEGRATION SUMMARY (Tier-1 D-line + Tier-2 caretaker radio)
#   samples processed on-chip : 223
#   caretaker packets TX'd    : 6 (msg_count reg = 6)
#   EDGE-WIN: dumb node = 223 transmissions, our chip = 6 -> 97% saved
M,223,6,97
#   warm-up OK: 0 caretaker packets at ts=0 (false FROST suppressed)
#   sparseness OK: 6 packets << 223 samples (Tier-2 radio is sparse)
# FEATURE CHECKS (per story-phase window):
#   OK weed #1 fired (ts 55..66)
#   OK weed #2 fired (ts 209..218)
#   OK slow dry-spell did NOT trip weed (ts 21..46)
#   OK weed SUPPRESSED under heat = evaporation (ts 75..104)
#   OK heat alert fired (ts 75..104)
#   OK frost alert fired (ts 113..134)
#   OK nutrient alert fired (ts 143..164)
#   OK combined-stress caught by joint fusion (ts 171..192)
#   OK TEDA sensor anomaly fired (ts 197..208)
#---------------------------------------------------------
# RESULT: PASS - D-line aligned (17 fields), warm-up gate silent at ts=0, caretaker radio TX'd 6 sparse packet(s) (98% saved), 0 errors.
#---------------------------------------------------------
edge_analytics_tb.v:637: $finish called at 2330000 (1ps)
